"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","19","79.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/02/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/03/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","9","38.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/06/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","3","13.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/07/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/08/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/09/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","14","58.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/10/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","1","4.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/11/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/12/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/13/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/14/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","23","96.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/15/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","12","50.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/16/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/17/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/18/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/19/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/20/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","20","83.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/21/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/22/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/23/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
"01/24/2020","AQS","530090013","2","0.1","ppm","1","CHEEKA PEAK","24","100.0000","42101","Carbon monoxide","38820","Port Angeles, WA","53","Washington","009","Clallam","48.29786","-124.62491"
