"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","040130019","1","28","ppb","26","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/02/2020","AQS","040130019","1","24","ppb","23","WEST PHOENIX","23","96.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/03/2020","AQS","040130019","1","36","ppb","34","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/04/2020","AQS","040130019","1","40","ppb","38","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/05/2020","AQS","040130019","1","33","ppb","31","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/06/2020","AQS","040130019","1","35","ppb","33","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/07/2020","AQS","040130019","1","37","ppb","35","WEST PHOENIX","22","92.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/08/2020","AQS","040130019","1","33","ppb","31","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/09/2020","AQS","040130019","1","27","ppb","25","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/10/2020","AQS","040130019","1","27","ppb","25","WEST PHOENIX","23","96.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/11/2020","AQS","040130019","1","33","ppb","31","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/12/2020","AQS","040130019","1","33","ppb","31","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/13/2020","AQS","040130019","1","37","ppb","35","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/14/2020","AQS","040130019","1","40","ppb","38","WEST PHOENIX","22","92.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/15/2020","AQS","040130019","1","38","ppb","36","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/16/2020","AQS","040130019","1","34","ppb","32","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/17/2020","AQS","040130019","1","33","ppb","31","WEST PHOENIX","24","100.0000","42602","Nitrogen dioxide (NO2)","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
