"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","490037001","1","0.042","ppm","39","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/02/2020","AQS","490037001","1","0.038","ppm","35","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/03/2020","AQS","490037001","1","0.039","ppm","36","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/04/2020","AQS","490037001","1","0.041","ppm","38","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/05/2020","AQS","490037001","1","0.039","ppm","36","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/06/2020","AQS","490037001","1","0.037","ppm","34","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/07/2020","AQS","490037001","1","0.039","ppm","36","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/08/2020","AQS","490037001","1","0.037","ppm","34","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/09/2020","AQS","490037001","1","0.041","ppm","38","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/10/2020","AQS","490037001","1","0.039","ppm","36","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/11/2020","AQS","490037001","1","0.038","ppm","35","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/12/2020","AQS","490037001","1","0.04","ppm","37","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/13/2020","AQS","490037001","1","0.042","ppm","39","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/14/2020","AQS","490037001","1","0.044","ppm","41","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/15/2020","AQS","490037001","1","0.043","ppm","40","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/16/2020","AQS","490037001","1","0.041","ppm","38","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/17/2020","AQS","490037001","1","0.043","ppm","40","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/18/2020","AQS","490037001","1","0.043","ppm","40","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/19/2020","AQS","490037001","1","0.045","ppm","42","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/20/2020","AQS","490037001","1","0.043","ppm","40","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/21/2020","AQS","490037001","1","0.038","ppm","35","WASHAKIE","13","76.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/28/2020","AQS","490037001","1","0.033","ppm","31","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/29/2020","AQS","490037001","1","0.039","ppm","36","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/30/2020","AQS","490037001","1","0.037","ppm","34","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"01/31/2020","AQS","490037001","1","0.033","ppm","31","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/01/2020","AQS","490037001","1","0.038","ppm","35","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/02/2020","AQS","490037001","1","0.039","ppm","36","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/03/2020","AQS","490037001","1","0.042","ppm","39","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/04/2020","AQS","490037001","1","0.042","ppm","39","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/05/2020","AQS","490037001","1","0.038","ppm","35","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/06/2020","AQS","490037001","1","0.036","ppm","33","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/07/2020","AQS","490037001","1","0.035","ppm","32","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/08/2020","AQS","490037001","1","0.042","ppm","39","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
"02/09/2020","AQS","490037001","1","0.041","ppm","38","WASHAKIE","17","100.0000","44201","Ozone","36260","Ogden-Clearfield, UT","49","Utah","003","Box Elder","41.945874098","-112.233973021"
