"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","201690004","1","0.014","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"01/10/2020","AQS","201690004","1","0.005","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"01/16/2020","AQS","201690004","1","0.001","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"01/22/2020","AQS","201690004","1","0.022","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/03/2020","AQS","201690004","1","0.004","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/09/2020","AQS","201690004","1","0.007","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/15/2020","AQS","201690004","1","0.01","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/21/2020","AQS","201690004","1","0.021","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/27/2020","AQS","201690004","1","0.003","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/04/2020","AQS","201690004","1","0.013","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/10/2020","AQS","201690004","1","0.03","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/16/2020","AQS","201690004","1","0.001","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/22/2020","AQS","201690004","1","0.005","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/28/2020","AQS","201690004","1","0.008","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"01/04/2020","AQS","201690004","2","0.017","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"01/10/2020","AQS","201690004","2","0.007","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"01/16/2020","AQS","201690004","2","0.001","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"01/22/2020","AQS","201690004","2","0.022","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/09/2020","AQS","201690004","2","0.008","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/15/2020","AQS","201690004","2","0.01","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"02/21/2020","AQS","201690004","2","0.022","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/04/2020","AQS","201690004","2","0.011","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/10/2020","AQS","201690004","2","0.026","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/16/2020","AQS","201690004","2","0.001","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/22/2020","AQS","201690004","2","0.007","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
"03/28/2020","AQS","201690004","2","0.009","ug/m3 LC",".","Salina lead","1","100.0000","14129","Lead (TSP) LC","41460","Salina, KS","20","Kansas","169","Saline","38.7764730009214","-97.606494"
