"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","080013001","2","3.7","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/02/2020","AQS","080013001","2","3.5","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/03/2020","AQS","080013001","2","3","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/04/2020","AQS","080013001","2","3","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/05/2020","AQS","080013001","2","0.7","ppb","0","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/06/2020","AQS","080013001","2","1.2","ppb","1","Welby","23","96.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/07/2020","AQS","080013001","2","3.1","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/08/2020","AQS","080013001","2","4.5","ppb","6","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/09/2020","AQS","080013001","2","1.4","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/10/2020","AQS","080013001","2","1.3","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/11/2020","AQS","080013001","2","2.4","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/12/2020","AQS","080013001","2","2.1","ppb","3","Welby","20","83.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/13/2020","AQS","080013001","2","3","ppb","4","Welby","23","96.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/14/2020","AQS","080013001","2","4.9","ppb","6","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/15/2020","AQS","080013001","2","1.9","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/16/2020","AQS","080013001","2","1.1","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/17/2020","AQS","080013001","2","3.2","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/18/2020","AQS","080013001","2","1.4","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/19/2020","AQS","080013001","2","2.2","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/20/2020","AQS","080013001","2","3.4","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/21/2020","AQS","080013001","2","5.9","ppb","7","Welby","23","96.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/22/2020","AQS","080013001","2","3.3","ppb","4","Welby","20","83.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/23/2020","AQS","080013001","2","2.4","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/24/2020","AQS","080013001","2","4.2","ppb","6","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/25/2020","AQS","080013001","2","2.9","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/26/2020","AQS","080013001","2","2.2","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/27/2020","AQS","080013001","2","2.3","ppb","3","Welby","23","96.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/28/2020","AQS","080013001","2","3.3","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/29/2020","AQS","080013001","2","2.3","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/30/2020","AQS","080013001","2","3.2","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/31/2020","AQS","080013001","2","4.8","ppb","6","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/01/2020","AQS","080013001","2","3.3","ppb","4","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/02/2020","AQS","080013001","2","2.3","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/03/2020","AQS","080013001","2","0.9","ppb","0","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/04/2020","AQS","080013001","2","0.3","ppb","0","Welby","23","96.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/05/2020","AQS","080013001","2","2","ppb","3","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/06/2020","AQS","080013001","2","1.7","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/07/2020","AQS","080013001","2","0.7","ppb","0","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/08/2020","AQS","080013001","2","1.8","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/09/2020","AQS","080013001","2","0.7","ppb","0","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"02/10/2020","AQS","080013001","2","1.8","ppb","1","Welby","24","100.0000","42401","Sulfur dioxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
